A,B,C,D,E,outcome
1.9790067543092775,-35.29198305798422,0.5214570082643265,-0.46367632841562906,-0.12848511218497707,0
9.517352140825004,-30.41481656773302,2.0690476195365175,2.0744419655748776,-4.514808219351308,0
-30.045410247648352,42.04944764258648,6.14547757123145,0.34594605527695516,1.6030648329941846,1
-39.33598172708971,21.846115837659358,2.345316550574044,-0.820014349212201,2.5050576637599256,0
-51.97065280908069,-8.012554679162566,-1.1799798802381927,-2.473222983837608,-0.4863096729976204,1
-42.625883896314164,-5.227642504828674,-5.162499752788947,-3.60751607967715,1.8233248285950105,1
-36.90166794022707,-38.69340865997403,2.4189170261780975,1.1909202082067685,0.2832501748222159,1
-6.6467951161484224,-81.87720361252016,3.595111786942702,5.729950565958434,0.33024270727379734,0
20.830978030428504,-32.34793305108081,0.31779509204522877,3.523104261657253,-2.553004197157423,1
-82.60902336722634,55.2542201049095,-4.878719477273108,-4.804593778505235,-1.641882214445398,1
13.196962352742322,34.17396653175365,19.096446513910713,-9.727315438896087,-4.936553450392145,0
-26.39333833992919,-41.59962144556054,4.126106189668824,-1.79477140714137,-1.7878344428395323,0
-87.57355382153827,36.97210861573279,-6.179163421780538,-10.299490315130916,2.335076505229004,1
-42.07327293594457,-15.020683673078597,-3.322080720203169,11.85374149083434,0.06422195017651035,1
-119.49175599717196,88.0253635874657,-9.637104770440695,-22.385950459605397,3.237861552448442,0
23.78957694239583,-34.14063706297354,10.241142940373267,1.986258088965381,-4.26273864364826,0
15.64255765109132,128.1068726800849,28.164632308799273,30.694393331427253,8.918444834462283,1
-31.70616315383007,-44.81118849362555,2.910305420594992,-1.9160057860643915,0.7551550489345258,0
-72.37930713458125,29.912816005990685,-5.963753468458999,-4.513285080959448,0.3742991809806836,0
41.09162309143044,26.026602789999867,-18.757956538036783,9.163137656608459,-0.39210223573471864,1
-0.6527999344279911,2.6107347169046213,10.787254969370933,-3.5732174575656486,-5.2982186342574975,0
121.37543841594075,14.562595357885042,-25.086098239985446,-2.365170393546215,-2.637432629498867,1
-49.39497044116921,-32.66826728005355,-0.7318701516917655,0.6313681730071621,4.327223019570339,1
35.18119359366893,-47.06754027097993,-1.9042021074145443,-0.5880817093196669,2.176147726006293,0
86.16320592514198,-32.78181043715732,-35.710427626312516,-2.7920741149360278,2.212216648752141,1
12.570389361650038,-2.0809111198672174,-0.5196652521156326,12.68278750770977,4.5179975765171685,1
-4.688260193789257,36.58295153664002,14.675118662455937,2.827072178941166,1.6623189905521967,0
